,instrument,expiry,strike,option_type,ttm_days,ttm_years,underlying,mid_usd,mark_iv,moneyness,volume
0,BTC-6APR26-66500-C,2026-04-06,66500,call,3,0.00821917808219178,66864.03,1208.2423830641999,0.39649999999999996,0.9945556676736356,11.9
1,BTC-17APR26-75000-C,2026-04-17,75000,call,14,0.038356164383561646,66883.76000000001,277.31812757520004,0.44049999999999995,1.1213484409369328,17.2
2,BTC-6APR26-69000-C,2026-04-06,69000,call,3,0.00821917808219178,66864.03,250.0674603582,0.3686,1.031944978488434,23.2
3,BTC-29MAY26-66000-C,2026-05-29,66000,call,56,0.15342465753424658,67055.44,5657.238813749601,0.4907,0.9842601882859914,5.0
4,BTC-6APR26-69000-P,2026-04-06,69000,put,3,0.00821917808219178,66864.03,2395.2848567766,0.3686,1.031944978488434,0.0
5,BTC-10APR26-64000-P,2026-04-10,64000,put,7,0.019178082191780823,66865.33,770.9946994848001,0.5009,0.9571477475696298,1124.5
6,BTC-29MAY26-95000-C,2026-05-29,95000,call,56,0.15342465753424658,67055.36,166.83440623360002,0.469,1.4167398400366502,4.5
7,BTC-29MAY26-84000-C,2026-05-29,84000,call,56,0.15342465753424658,67055.15,638.4863978215,0.4501,1.2527002027435628,2667.6
8,BTC-17APR26-62000-P,2026-04-17,62000,put,14,0.038356164383561646,66883.285,956.83294404285,0.5351,0.9269879611923966,38.3
9,BTC-26JUN26-74000-C,2026-06-26,74000,call,84,0.23013698630136986,67221.12,3458.1777463872,0.4644,1.100844496491579,3.4
10,BTC-29MAY26-86000-C,2026-05-29,86000,call,56,0.15342465753424658,67055.36,486.4350041728,0.45049999999999996,1.2825223815068625,1.3
11,BTC-24APR26-81000-C,2026-04-24,81000,call,21,0.057534246575342465,66902.28,142.5506950644,0.45899999999999996,1.2107210695958344,1004.2
12,BTC-17APR26-58000-P,2026-04-17,58000,put,14,0.038356164383561646,66883.285,415.79599319090005,0.598,0.8671822862767581,27.9
13,BTC-24APR26-66000-C,2026-04-24,66000,call,21,0.057534246575342465,66902.43,3617.4679120439996,0.4901,0.9865112522818679,450.3
14,BTC-17APR26-56000-P,2026-04-17,56000,put,14,0.038356164383561646,66883.76000000001,277.9334581672,0.6347,0.8372735025662432,8.7
15,BTC-6APR26-64000-P,2026-04-06,64000,put,3,0.00821917808219178,66864.03,244.6106868699,0.45520000000000005,0.9571663568588372,17.8
16,BTC-24APR26-65000-C,2026-04-24,65000,call,21,0.057534246575342465,66902.43,4220.7458560344,0.49920000000000003,0.971564112095779,12.3
17,BTC-29MAY26-56000-P,2026-05-29,56000,put,56,0.15342465753424658,67055.44,1566.5773525647999,0.5603,0.8351298567275078,2.7
18,BTC-26JUN26-82000-C,2026-06-26,82000,call,84,0.23013698630136986,67221.12,1589.0911437311997,0.4537,1.2198547123285064,6.8
19,BTC-29MAY26-90000-C,2026-05-29,90000,call,56,0.15342465753424658,67055.15,289.62259222549994,0.4551,1.3421787886538172,0.2
20,BTC-10APR26-74000-C,2026-04-10,74000,call,7,0.019178082191780823,66865.24,92.44320025720002,0.4341,1.1067035727382417,27.1
21,BTC-6APR26-64500-C,2026-04-06,64500,call,3,0.00821917808219178,66864.03,2673.5462040246,0.4434,0.964644219021797,0.0
22,BTC-24APR26-95000-C,2026-04-24,95000,call,21,0.057534246575342465,66902.28,24.3684864672,0.5847,1.4199815013778305,0.0
23,BTC-24APR26-56000-P,2026-04-24,56000,put,21,0.057534246575342465,66902.28,496.69925229,0.6079,0.8370417271279843,53.3
24,BTC-24APR26-54000-P,2026-04-24,54000,put,21,0.057534246575342465,66902.28,347.8844967492,0.6368,0.8071473797305563,69.4
25,BTC-26JUN26-68000-P,2026-06-26,68000,put,84,0.23013698630136986,67221.12,6655.4420931839995,0.48350000000000004,1.0115868346138834,16.6
26,BTC-29MAY26-94000-C,2026-05-29,94000,call,56,0.15342465753424658,67055.15,186.6164941045,0.46659999999999996,1.4018311792606535,0.1
27,BTC-6APR26-69500-C,2026-04-06,69500,call,3,0.00821917808219178,66864.03,173.2834828674,0.3701,1.0394228406513937,21.9
28,BTC-29MAY26-69000-C,2026-05-29,69000,call,56,0.15342465753424658,67055.44,4157.9797585096,0.47600000000000003,1.0289992877535366,13.2
29,BTC-24APR26-76000-C,2026-04-24,76000,call,21,0.057534246575342465,66902.28,450.4483680804,0.4462,1.1359852011022644,62.8
30,BTC-29MAY26-74000-C,2026-05-29,74000,call,56,0.15342465753424658,67055.44,2316.31282778,0.4572,1.1035644535327782,20.0
31,BTC-29MAY26-63000-P,2026-05-29,63000,put,56,0.15342465753424658,67055.44,3396.8448584944003,0.5082,0.9395210888184463,21.8
32,BTC-26JUN26-84000-C,2026-06-26,84000,call,84,0.23013698630136986,67221.12,1306.9015874496,0.4537,1.2496072662877382,2.2
33,BTC-24APR26-58000-P,2026-04-24,58000,put,21,0.057534246575342465,66902.28,696.0151938888,0.5772999999999999,0.8669360745254123,6.7
34,BTC-26JUN26-72000-C,2026-06-26,72000,call,84,0.23013698630136986,67221.15,4159.9358295795,0.47,1.0710914645167482,353.0
35,BTC-29MAY26-72000-C,2026-05-29,72000,call,56,0.15342465753424658,67055.44,2954.0254849312,0.4635,1.0737383872210815,75.4
36,BTC-6APR26-72000-C,2026-04-06,72000,call,3,0.00821917808219178,66864.03,37.826987691899994,0.41979999999999995,1.076812151466192,22.9
37,BTC-26JUN26-64000-C,2026-06-26,64000,call,84,0.23013698630136986,67221.12,8016.1998975552,0.49979999999999997,0.9520817266954196,1.9
38,BTC-10APR26-62000-P,2026-04-10,62000,put,7,0.019178082191780823,66865.33,426.9538543424,0.5396,0.927236880458079,80.2
39,BTC-24APR26-67000-P,2026-04-24,67000,put,21,0.057534246575342465,66902.28,3156.4870356768,0.4805,1.0014606378138384,174.7
40,BTC-29MAY26-65000-P,2026-05-29,65000,put,56,0.15342465753424658,67055.44,4171.3868231832,0.4965,0.969347155130143,78.1
41,BTC-10APR26-64000-C,2026-04-10,64000,call,7,0.019178082191780823,66865.24,3635.8168159196002,0.5009,0.9571490358817226,4.0
42,BTC-6APR26-63000-P,2026-04-06,63000,put,3,0.00821917808219178,66864.03,151.05921657599998,0.4865,0.9422106325329179,8.7
43,BTC-24APR26-59000-P,2026-04-24,59000,put,21,0.057534246575342465,66902.28,828.842311578,0.5638000000000001,0.8818832482241263,108.2
44,BTC-29MAY26-50000-P,2026-05-29,50000,put,56,0.15342465753424658,67055.15,768.5626599975,0.617,0.745654882585454,2.8
45,BTC-29MAY26-64000-C,2026-05-29,64000,call,56,0.15342465753424658,67055.15,6824.4567545185,0.5023,0.9544382497093811,0.2
46,BTC-17APR26-68000-P,2026-04-17,68000,put,14,0.038356164383561646,66883.285,3089.2131935742,0.466,1.0166964735658544,2.2
47,BTC-6APR26-70000-C,2026-04-06,70000,call,3,0.00821917808219178,66864.03,120.9042076863,0.3746,1.0469007028143533,13.4
48,BTC-17APR26-68000-C,2026-04-17,68000,call,14,0.038356164383561646,66883.285,1972.9806605551,0.466,1.0166964735658544,19.6
49,BTC-24APR26-69000-P,2026-04-24,69000,put,21,0.057534246575342465,66902.28,4217.8970600592,0.46549999999999997,1.0313549852112665,16.4
50,BTC-29MAY26-45000-P,2026-05-29,45000,put,56,0.15342465753424658,67055.15,433.10921385,0.6790999999999999,0.6710893943269086,3.9
51,BTC-17APR26-60000-P,2026-04-17,60000,put,14,0.038356164383561646,66883.285,627.78590916265,0.5642,0.8970851237345773,72.3
52,BTC-29MAY26-83000-C,2026-05-29,83000,call,56,0.15342465753424658,67055.36,732.5207992832001,0.45049999999999996,1.2377832286635997,51.8
53,BTC-29MAY26-65000-C,2026-05-29,65000,call,56,0.15342465753424658,67055.15,6226.344933063499,0.4965,0.9693513473610902,0.5
54,BTC-24APR26-82000-C,2026-04-24,82000,call,21,0.057534246575342465,66902.28,118.24710380879999,0.46590000000000004,1.2256682432945485,105.1
55,BTC-6APR26-60000-P,2026-04-06,60000,put,3,0.00821917808219178,66864.03,45.2997116847,0.6011,0.8973434595551599,44.8
56,BTC-6APR26-66500-P,2026-04-06,66500,put,3,0.00821917808219178,66864.03,853.3856148899999,0.39649999999999996,0.9945556676736356,4.8
57,BTC-17APR26-67000-P,2026-04-17,67000,put,14,0.038356164383561646,66883.285,2576.2344496126,0.47450000000000003,1.0017450548369446,70.2
58,BTC-6APR26-75000-C,2026-04-06,75000,call,3,0.00821917808219178,66864.03,6.6576514671,0.47609999999999997,1.12167932444395,0.0
59,BTC-24APR26-78000-C,2026-04-24,78000,call,21,0.057534246575342465,66902.28,277.0871660076,0.4475,1.1658795484996924,26.9
60,BTC-26JUN26-60000-P,2026-06-26,60000,put,84,0.23013698630136986,67221.12,3367.6423253375997,0.5209,0.8925766187769558,19.5
61,BTC-6APR26-67500-P,2026-04-06,67500,put,3,0.00821917808219178,66864.03,1336.6641136434,0.3779,1.0095113919995549,0.0
62,BTC-17APR26-76000-C,2026-04-17,76000,call,14,0.038356164383561646,66883.76000000001,201.24922081440002,0.4409,1.1362997534827586,107.5
63,BTC-29MAY26-73000-C,2026-05-29,73000,call,56,0.15342465753424658,67055.44,2618.7670604544,0.46009999999999995,1.08865142037693,1.0
64,BTC-29MAY26-75000-C,2026-05-29,75000,call,56,0.15342465753424658,67055.44,2039.987417856,0.4543,1.1184774866886267,73.4
65,BTC-24APR26-57000-P,2026-04-24,57000,put,21,0.057534246575342465,66902.43,595.8638166978,0.5949,0.8519869906070677,39.8
66,BTC-26JUN26-55000-P,2026-06-26,55000,put,84,0.23013698630136986,67221.12,2081.9584122048,0.5516,0.8181952338788763,25.5
67,BTC-24APR26-72000-C,2026-04-24,72000,call,21,0.057534246575342465,66902.28,1123.0337144904001,0.44880000000000003,1.0761965063074084,63.4
68,BTC-24APR26-75000-C,2026-04-24,75000,call,21,0.057534246575342465,66902.28,570.0736588572,0.4459,1.1210380274035503,210.3
69,BTC-24APR26-69000-C,2026-04-24,69000,call,21,0.057534246575342465,66902.28,2120.176739682,0.46549999999999997,1.0313549852112665,74.8
70,BTC-29MAY26-76000-C,2026-05-29,76000,call,56,0.15342465753424658,67055.44,1781.974848596,0.4506,1.133390519844475,22.3
71,BTC-26JUN26-68000-C,2026-06-26,68000,call,84,0.23013698630136986,67221.15,5876.413106176499,0.48350000000000004,1.0115863831547065,11.6
72,BTC-26JUN26-65000-P,2026-06-26,65000,put,84,0.23013698630136986,67221.12,5228.3719983552,0.496,0.9669580036750355,12.8
73,BTC-6APR26-70000-P,2026-04-06,70000,put,3,0.00821917808219178,66864.03,3266.2262913834,0.3746,1.0469007028143533,0.0
74,BTC-17APR26-63000-P,2026-04-17,63000,put,14,0.038356164383561646,66883.285,1173.2879881212,0.5207,0.9419393799213062,2.9
75,BTC-6APR26-66000-P,2026-04-06,66000,put,3,0.00821917808219178,66864.03,661.1187652653,0.4025,0.9870778055106759,10.7
76,BTC-29MAY26-85000-C,2026-05-29,85000,call,56,0.15342465753424658,67055.36,558.53762112,0.45049999999999996,1.267609330559108,1176.5
77,BTC-26JUN26-70000-C,2026-06-26,70000,call,84,0.23013698630136986,67221.15,4960.7306341455,0.47609999999999997,1.0413389238357273,46.3
78,BTC-6APR26-73000-C,2026-04-06,73000,call,3,0.00821917808219178,66864.03,21.7481943978,0.4416,1.0917678757921112,0.1
79,BTC-17APR26-67000-C,2026-04-17,67000,call,14,0.038356164383561646,66883.285,2459.9953132797,0.47450000000000003,1.0017450548369446,8.0
80,BTC-6APR26-68000-P,2026-04-06,68000,put,3,0.00821917808219178,66864.03,1652.1453231909,0.37420000000000003,1.0169892541625145,0.0
81,BTC-6APR26-68000-C,2026-04-06,68000,call,3,0.00821917808219178,66864.03,507.00787436009995,0.37420000000000003,1.0169892541625145,25.4
82,BTC-6APR26-71000-C,2026-04-06,71000,call,3,0.00821917808219178,66864.03,61.9702516443,0.3907,1.0618564271402726,51.7
83,BTC-24APR26-68000-C,2026-04-24,68000,call,21,0.057534246575342465,66902.28,2562.3887680716,0.4728,1.0164078115125523,11.3
84,BTC-24APR26-55000-P,2026-04-24,55000,put,21,0.057534246575342465,66902.28,414.519836652,0.6217,0.8220945534292703,144.6
85,BTC-6APR26-67000-C,2026-04-06,67000,call,3,0.00821917808219178,66864.03,927.9711030744,0.3864,1.0020335298365952,8.2
86,BTC-29MAY26-98000-C,2026-05-29,98000,call,56,0.15342465753424658,67055.15,125.88464474949998,0.48009999999999997,1.4614835698674897,0.5
87,BTC-29MAY26-68000-C,2026-05-29,68000,call,56,0.15342465753424658,67055.44,4627.5019493896,0.48090000000000005,1.014086254597688,8.8
88,BTC-29MAY26-57000-P,2026-05-29,57000,put,56,0.15342465753424658,67055.44,1741.265490972,0.5497,0.8500428898833562,1.7
89,BTC-10APR26-73000-C,2026-04-10,73000,call,7,0.019178082191780823,66865.24,144.0304015696,0.42840000000000006,1.09174811905259,258.7
90,BTC-17APR26-73000-C,2026-04-17,73000,call,14,0.038356164383561646,66883.285,509.97100263515006,0.44049999999999995,1.0914535672104024,154.4
